Subset,Approach,SS Med,SS P95,SS Worst,MM Med,MM P95,MM Worst,MA Med,MA P95,MA Worst
5%,Random,9.20,13.78,17.91,20.21,32.97,47.22,21.76,33.82,47.78
5%,Diff-Strat,5.35,8.37,11.35,16.25,26.57,38.16,15.91,25.34,36.95
5%,Consist-Strat,4.58,7.16,9.77,14.42,23.83,34.61,14.28,22.15,31.25
5%,Repo-Strat,9.93,14.05,17.28,19.94,32.14,45.72,21.24,32.59,45.98
5%,Repo×Diff,10.46,12.49,14.14,16.89,26.31,36.52,16.97,24.51,34.15
5%,Repo×Consist,11.01,12.38,13.35,15.72,24.03,33.00,16.43,22.48,28.86
10%,Random,6.32,9.60,12.99,13.76,22.36,32.12,15.03,23.21,32.85
10%,Diff-Strat,3.92,5.79,7.76,10.97,17.92,25.60,10.86,17.04,24.68
10%,Consist-Strat,3.35,4.99,6.51,9.63,15.87,22.92,9.60,14.94,21.23
10%,Repo-Strat,7.24,10.12,12.78,13.62,22.07,31.50,14.75,22.68,31.92
10%,Repo×Diff,5.16,6.48,7.47,11.12,17.97,25.35,10.95,16.60,23.47
10%,Repo×Consist,5.16,6.06,6.63,10.28,16.41,22.68,9.90,14.66,19.66
20%,Random,4.19,6.42,8.50,9.17,14.95,21.33,9.99,15.40,21.51
20%,Diff-Strat,2.58,3.85,5.16,7.32,11.86,16.95,7.16,11.08,15.83
20%,Consist-Strat,2.15,3.28,4.41,6.41,10.53,15.11,6.30,9.78,13.84
20%,Repo-Strat,5.02,6.75,8.14,9.09,14.84,21.14,9.83,15.16,21.21
20%,Repo×Diff,4.55,5.28,5.86,7.42,12.03,17.11,7.20,11.08,15.65
20%,Repo×Consist,5.50,5.95,6.31,6.61,10.76,15.20,6.47,9.80,13.51
30%,Random,3.22,4.90,6.50,7.01,11.43,16.30,7.61,11.73,16.28
30%,Diff-Strat,1.99,2.92,3.77,5.57,9.06,12.90,5.44,8.43,11.94
30%,Consist-Strat,1.64,2.45,3.28,4.89,8.02,11.44,4.78,7.43,10.50
30%,Repo-Strat,4.42,5.65,6.68,6.95,11.32,16.04,7.49,11.55,16.03
30%,Repo×Diff,3.75,4.29,4.71,5.63,9.14,13.03,5.46,8.43,11.86
30%,Repo×Consist,3.56,3.88,4.08,5.02,8.17,11.53,4.90,7.45,10.34
