Paper location,Statement,Value in the paper,Reproduced value,How it is computed
Fig. 7 / Approach,"Configurations in family 'Uniform Random', Multi-model",1,1.0000,all_methods group counts
Fig. 7 / Approach,"Configurations in family 'Stratified sampling', Multi-model",5,5.0000,all_methods group counts
Fig. 7 / Approach,"Configurations in family 'Embedding + strata', Multi-model",10,10.0000,all_methods group counts
Fig. 7 / Approach,"Configurations in family 'Pure embedding', Multi-model",20,20.0000,all_methods group counts
Fig. 7 / Approach,"Configurations in family 'Clustering', Multi-model",16,16.0000,all_methods group counts
Fig. 7 / Approach,"Configurations in family 'Shortlist', Multi-model",24,24.0000,all_methods group counts
Fig. 7 / Approach,"Total configurations, Multi-model (control method excluded)",76,76.0000,sum of the six families
Fig. 7 / Approach,"Configurations in family 'Uniform Random', Multi-agent",1,1.0000,all_methods group counts
Fig. 7 / Approach,"Configurations in family 'Stratified sampling', Multi-agent",5,5.0000,all_methods group counts
Fig. 7 / Approach,"Configurations in family 'Embedding + strata', Multi-agent",10,10.0000,all_methods group counts
Fig. 7 / Approach,"Configurations in family 'Pure embedding', Multi-agent",20,20.0000,all_methods group counts
Fig. 7 / Approach,"Configurations in family 'Clustering', Multi-agent",16,16.0000,all_methods group counts
Fig. 7 / Approach,"Configurations in family 'Shortlist', Multi-agent",24,24.0000,all_methods group counts
Fig. 7 / Approach,"Total configurations, Multi-agent (control method excluded)",76,76.0000,sum of the six families
Table 7,All printed cells,36 cells,36 of 36 cells equal the printed value,generated table compared with common/paper_values.py
Finding 3.1,"Pure Embedding best configuration (Medoid TS [PE]): RMSE difference vs Centroid Pooled, Multi-model (%)",36.7,36.6957,100*(mean_ablation - mean_full)/mean_ablation
Finding 3.1,"... Cliff's delta, Multi-model",0.588,0.58800,paired Cliff's delta on dist_means
Finding 3.1,"... significant (p<0.001, Holm) with large effect, Multi-model",p<0.001; large,"Holm p=6.1e-105, L, W/T/L=(794, 0, 206)","Wilcoxon on dist_means, Holm over the three families"
Finding 3.1,"Pure Embedding best configuration (Medoid TS +Cal [PE]): RMSE difference vs Centroid Pooled, Multi-agent (%)",30.5,30.4974,100*(mean_ablation - mean_full)/mean_ablation
Finding 3.1,"... Cliff's delta, Multi-agent",0.778,0.77800,paired Cliff's delta on dist_means
Finding 3.1,"... significant (p<0.001, Holm) with large effect, Multi-agent",p<0.001; large,"Holm p=8.7e-140, L, W/T/L=(889, 0, 111)","Wilcoxon on dist_means, Holm over the three families"
