Scenario,Subset,Below %,Inside %,Above %
multi_model,5%,18.2,81.5,0.3
multi_model,10%,20.4,77.7,1.9
multi_model,20%,14.8,78.1,7.1
multi_model,30%,22.9,71.3,5.8
multi_agent,5%,26.7,72.8,0.5
multi_agent,10%,30.7,68.7,0.6
multi_agent,20%,26.2,72.3,1.5
multi_agent,30%,19.3,78.7,2.0
