Subset,Method,Dataset,Column,Printed value,Reproduced value
5%,FL Pooled,Multi-Agent,MaxErr,14.06,13.90
5%,FL Pooled,Multi-Agent,Delta%Med,−1.5,−2.6
5%,FL Pooled,Multi-Agent,Delta%P95,−36.5,−37.2
5%,FL Pooled,Multi-Agent,Delta%W,−55.0,−55.5
5%,KS Pooled,Multi-Model,MaxErr,14.20,14.45
5%,KS Pooled,Multi-Model,Delta%Med,−1.5,+0.2
5%,KS Pooled,Multi-Model,Delta%P95,−40.4,−39.4
5%,KS Pooled,Multi-Model,Delta%W,−59.0,−58.2
5%,KS Pooled,Multi-Agent,MaxErr,13.92,13.43
5%,KS Pooled,Multi-Agent,Delta%Med,−2.5,−5.9
5%,KS Pooled,Multi-Agent,Delta%P95,−37.1,−39.4
5%,KS Pooled,Multi-Agent,Delta%W,−55.4,−57.0
10%,Centroid Pooled,Multi-Model,MaxErr,8.56,8.56
10%,Centroid Pooled,Multi-Model,Delta%Med,−11.1,−11.1
10%,Centroid Pooled,Multi-Model,Delta%P95,−46.1,−46.0
10%,Centroid Pooled,Multi-Model,Delta%W,−62.7,−62.6
10%,Centroid Pooled,Multi-Agent,MaxErr,8.95,8.95
10%,Centroid Pooled,Multi-Agent,Delta%Med,−6.8,−6.8
10%,Centroid Pooled,Multi-Agent,Delta%P95,−40.1,−40.1
10%,Centroid Pooled,Multi-Agent,Delta%W,−57.9,−57.8
10%,Core/Edge Pooled,Multi-Model,MaxErr,8.92,8.76
10%,Core/Edge Pooled,Multi-Model,Delta%Med,−7.4,−9.1
10%,Core/Edge Pooled,Multi-Model,Delta%P95,−43.8,−44.8
10%,Core/Edge Pooled,Multi-Model,Delta%W,−61.1,−61.8
10%,Core/Edge Pooled,Multi-Agent,MaxErr,9.05,9.19
10%,Core/Edge Pooled,Multi-Agent,Delta%Med,−5.7,−4.3
10%,Core/Edge Pooled,Multi-Agent,Delta%P95,−39.4,−38.5
10%,Core/Edge Pooled,Multi-Agent,Delta%W,−57.4,−56.7
10%,Medoid Pooled,Multi-Model,MaxErr,9.09,9.16
10%,Medoid Pooled,Multi-Model,Delta%Med,−5.6,−4.9
10%,Medoid Pooled,Multi-Model,Delta%P95,−42.7,−42.3
10%,Medoid Pooled,Multi-Model,Delta%W,−60.3,−60.0
10%,Medoid Pooled,Multi-Agent,MaxErr,8.91,9.03
10%,Medoid Pooled,Multi-Agent,Delta%Med,−7.2,−5.9
10%,Medoid Pooled,Multi-Agent,Delta%P95,−40.4,−39.5
10%,Medoid Pooled,Multi-Agent,Delta%W,−58.0,−57.4
10%,FL Pooled,Multi-Model,MaxErr,9.22,9.30
10%,FL Pooled,Multi-Model,Delta%Med,−4.3,−3.4
10%,FL Pooled,Multi-Model,Delta%P95,−41.9,−41.4
10%,FL Pooled,Multi-Model,Delta%W,−59.8,−59.4
10%,FL Pooled,Multi-Agent,MaxErr,9.24,9.47
10%,FL Pooled,Multi-Agent,Delta%Med,−3.7,−1.3
10%,FL Pooled,Multi-Agent,Delta%P95,−38.1,−36.6
10%,FL Pooled,Multi-Agent,Delta%W,−56.5,−55.4
10%,KS Pooled,Multi-Model,MaxErr,9.82,10.11
10%,KS Pooled,Multi-Model,Delta%Med,+2.0,+5.0
10%,KS Pooled,Multi-Model,Delta%P95,−38.1,−36.3
10%,KS Pooled,Multi-Model,Delta%W,−57.2,−55.9
10%,KS Pooled,Multi-Agent,MaxErr,9.40,9.32
10%,KS Pooled,Multi-Agent,Delta%Med,−2.1,−2.9
10%,KS Pooled,Multi-Agent,Delta%P95,−37.1,−37.6
10%,KS Pooled,Multi-Agent,Delta%W,−55.7,−56.1
20%,Centroid Pooled,Multi-Model,MaxErr,5.90,5.90
20%,Centroid Pooled,Multi-Model,Delta%Med,−8.0,−8.0
20%,Centroid Pooled,Multi-Model,Delta%P95,−44.0,−44.0
20%,Centroid Pooled,Multi-Model,Delta%W,−61.0,−61.0
20%,Centroid Pooled,Multi-Agent,MaxErr,6.25,6.26
20%,Centroid Pooled,Multi-Agent,Delta%Med,−0.7,−0.7
20%,Centroid Pooled,Multi-Agent,Delta%P95,−36.1,−36.0
20%,Centroid Pooled,Multi-Agent,Delta%W,−54.8,−54.8
20%,Core/Edge Pooled,Multi-Model,MaxErr,6.02,5.92
20%,Core/Edge Pooled,Multi-Model,Delta%Med,−6.1,−7.6
20%,Core/Edge Pooled,Multi-Model,Delta%P95,−42.8,−43.7
20%,Core/Edge Pooled,Multi-Model,Delta%W,−60.2,−60.8
20%,Core/Edge Pooled,Multi-Agent,MaxErr,6.37,6.57
20%,Core/Edge Pooled,Multi-Agent,Delta%Med,+1.1,+4.3
20%,Core/Edge Pooled,Multi-Agent,Delta%P95,−34.9,−32.8
20%,Core/Edge Pooled,Multi-Agent,Delta%W,−54.0,−52.5
20%,Medoid Pooled,Multi-Model,MaxErr,6.40,6.57
20%,Medoid Pooled,Multi-Model,Delta%Med,−0.1,+2.5
20%,Medoid Pooled,Multi-Model,Delta%P95,−39.2,−37.6
20%,Medoid Pooled,Multi-Model,Delta%W,−57.6,−56.5
20%,Medoid Pooled,Multi-Agent,MaxErr,5.69,5.96
20%,Medoid Pooled,Multi-Agent,Delta%Med,−9.7,−5.4
20%,Medoid Pooled,Multi-Agent,Delta%P95,−41.9,−39.1
20%,Medoid Pooled,Multi-Agent,Delta%W,−58.9,−57.0
20%,FL Pooled,Multi-Model,MaxErr,6.40,6.57
20%,FL Pooled,Multi-Model,Delta%Med,−0.1,+2.5
20%,FL Pooled,Multi-Model,Delta%P95,−39.2,−37.6
20%,FL Pooled,Multi-Model,Delta%W,−57.6,−56.5
20%,FL Pooled,Multi-Agent,MaxErr,5.79,6.12
20%,FL Pooled,Multi-Agent,Delta%Med,−8.1,−2.9
20%,FL Pooled,Multi-Agent,Delta%P95,−40.8,−37.5
20%,FL Pooled,Multi-Agent,Delta%W,−58.2,−55.8
20%,KS Pooled,Multi-Model,MaxErr,6.40,6.54
20%,KS Pooled,Multi-Model,Delta%Med,−0.1,+2.0
20%,KS Pooled,Multi-Model,Delta%P95,−39.2,−37.8
20%,KS Pooled,Multi-Model,Delta%W,−57.6,−56.7
20%,KS Pooled,Multi-Agent,MaxErr,5.88,6.21
20%,KS Pooled,Multi-Agent,Delta%Med,−6.6,−1.4
20%,KS Pooled,Multi-Agent,Delta%P95,−39.9,−36.5
20%,KS Pooled,Multi-Agent,Delta%W,−57.5,−55.1
30%,Centroid Pooled,Multi-Model,MaxErr,4.43,4.43
30%,Centroid Pooled,Multi-Model,Delta%Med,−9.3,−9.3
30%,Centroid Pooled,Multi-Model,Delta%P95,−44.7,−44.7
30%,Centroid Pooled,Multi-Model,Delta%W,−61.2,−61.2
30%,Centroid Pooled,Multi-Agent,MaxErr,4.86,4.86
