Subset,Method,MM MaxErr,MM $\Delta$\%Med,MM $\Delta$\%P95,MM $\Delta$\%W,MA MaxErr,MA $\Delta$\%Med,MA $\Delta$\%P95,MA $\Delta$\%W
5%,Centroid Pooled,12.92,−10.4,−45.8,−62.7,13.74,−3.7,−37.9,−56.0
5%,Core/Edge Pooled,13.01,−9.7,−45.4,−62.4,13.10,−8.2,−40.8,−58.1
5%,Medoid Pooled,13.95,−3.2,−41.5,−59.7,13.48,−5.6,−39.1,−56.9
5%,FL Pooled,14.15,−1.9,−40.6,−59.1,13.90,−2.6,−37.2,−55.5
5%,KS Pooled,14.45,+0.2,−39.4,−58.2,13.43,−5.9,−39.4,−57.0
10%,Centroid Pooled,8.56,−11.1,−46.0,−62.6,8.95,−6.8,−40.1,−57.8
10%,Core/Edge Pooled,8.76,−9.1,−44.8,−61.8,9.19,−4.3,−38.5,−56.7
10%,Medoid Pooled,9.16,−4.9,−42.3,−60.0,9.03,−5.9,−39.5,−57.4
10%,FL Pooled,9.30,−3.4,−41.4,−59.4,9.47,−1.3,−36.6,−55.4
10%,KS Pooled,10.11,+5.0,−36.3,−55.9,9.32,−2.9,−37.6,−56.1
20%,Centroid Pooled,5.90,−8.0,−44.0,−61.0,6.26,−0.7,−36.0,−54.8
20%,Core/Edge Pooled,5.92,−7.6,−43.7,−60.8,6.57,+4.3,−32.8,−52.5
20%,Medoid Pooled,6.57,+2.5,−37.6,−56.5,5.96,−5.4,−39.1,−57.0
20%,FL Pooled,6.57,+2.5,−37.6,−56.5,6.12,−2.9,−37.5,−55.8
20%,KS Pooled,6.54,+2.0,−37.8,−56.7,6.21,−1.4,−36.5,−55.1
30%,Centroid Pooled,4.43,−9.3,−44.7,−61.2,4.86,+1.8,−34.5,−53.7
30%,Core/Edge Pooled,4.67,−4.4,−41.7,−59.1,5.22,+9.3,−29.7,−50.3
30%,Medoid Pooled,5.11,+4.6,−36.2,−55.3,4.59,−3.8,−38.2,−56.3
30%,FL Pooled,5.09,+4.1,−36.5,−55.5,4.65,−2.7,−37.5,−55.7
30%,KS Pooled,4.73,−3.3,−41.0,−58.7,4.70,−1.6,−36.7,−55.2
