run_group,subset,instances,table,first_method,second_method,paired_window_sizes,first_mean_rmse,first_median_rmse,second_mean_rmse,change_of_mean_rmse_pct,wins,ties,losses,wilcoxon_p,holm_p,cliff_delta
5,10%,124,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,3,0.059665,,0.135137,-55.85,3,0,0,0.2500,1.0000,1.000
5,10%,124,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,3,0.059665,,0.059976,-0.52,2,0,1,1.0000,1.0000,0.333
5,10%,124,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,3,0.059665,,0.032770,82.07,0,0,3,0.2500,1.0000,-1.000
5,10%,124,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,3,0.046137,,0.059665,-22.67,2,0,1,0.5000,1.0000,0.333
5,10%,124,centroid_pooled_vs_random,Centroid Pooled,Random,4,0.049762,,0.113956,-56.33,4,0,0,0.1250,1.0000,1.000
5,20%,124,baseline_rmse,Random,,4,0.077497,0.077738,,,,,,,,
5,20%,124,baseline_rmse,Diff-Strat,,4,0.046004,0.045234,,,,,,,,
5,20%,124,baseline_rmse,Consist-Strat,,3,0.041268,0.040565,,,,,,,,
5,20%,124,baseline_rmse,Repo-Strat,,4,0.064504,0.064654,,,,,,,,
5,20%,124,baseline_rmse,Repo×Diff,,4,0.073541,0.070428,,,,,,,,
5,20%,124,baseline_rmse,Repo×Consist,,3,0.044946,0.044798,,,,,,,,
5,20%,124,consist_strat_vs_baseline,Consist-Strat,Random,3,0.041268,,0.076863,-46.31,3,0,0,0.2500,1.0000,1.000
5,20%,124,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,3,0.041268,,0.043314,-4.73,2,0,1,0.5000,1.0000,0.333
5,20%,124,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,3,0.041268,,0.063060,-34.56,3,0,0,0.2500,1.0000,1.000
5,20%,124,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,3,0.041268,,0.074184,-44.37,3,0,0,0.2500,1.0000,1.000
5,20%,124,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,3,0.041268,,0.044946,-8.18,2,0,1,0.7500,1.0000,0.333
5,20%,124,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,3,0.040227,,0.041268,-2.52,2,0,1,1.0000,1.0000,0.333
5,20%,124,centroid_pooled_vs_random,Centroid Pooled,Random,4,0.047232,,0.077497,-39.05,4,0,0,0.1250,1.0000,1.000
5,30%,124,baseline_rmse,Random,,4,0.056957,0.057130,,,,,,,,
5,30%,124,baseline_rmse,Diff-Strat,,4,0.033621,0.033347,,,,,,,,
5,30%,124,baseline_rmse,Consist-Strat,,3,0.028360,0.027890,,,,,,,,
5,30%,124,baseline_rmse,Repo-Strat,,4,0.102348,0.102219,,,,,,,,
5,30%,124,baseline_rmse,Repo×Diff,,4,0.086006,0.086092,,,,,,,,
5,30%,124,baseline_rmse,Repo×Consist,,3,0.080681,0.079872,,,,,,,,
5,30%,124,consist_strat_vs_baseline,Consist-Strat,Random,3,0.028360,,0.056676,-49.96,3,0,0,0.2500,1.0000,1.000
5,30%,124,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,3,0.028360,,0.031756,-10.70,3,0,0,0.2500,1.0000,1.000
5,30%,124,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,3,0.028360,,0.101725,-72.12,3,0,0,0.2500,1.0000,1.000
5,30%,124,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,3,0.028360,,0.085345,-66.77,3,0,0,0.2500,1.0000,1.000
5,30%,124,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,3,0.028360,,0.080681,-64.85,3,0,0,0.2500,1.0000,1.000
5,30%,124,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,3,0.026420,,0.028360,-6.84,2,0,1,0.7500,1.0000,0.333
5,30%,124,centroid_pooled_vs_random,Centroid Pooled,Random,4,0.027513,,0.056957,-51.69,4,0,0,0.1250,1.0000,1.000
6,5%,321,baseline_rmse,Random,,5,0.100442,0.100303,,,,,,,,
6,5%,321,baseline_rmse,Diff-Strat,,5,0.065778,0.065308,,,,,,,,
6,5%,321,baseline_rmse,Consist-Strat,,4,0.060214,0.059890,,,,,,,,
6,5%,321,baseline_rmse,Repo-Strat,,5,0.086965,0.086695,,,,,,,,
6,5%,321,baseline_rmse,Repo×Diff,,5,0.075321,0.071345,,,,,,,,
6,5%,321,baseline_rmse,Repo×Consist,,4,0.063864,0.061264,,,,,,,,
6,5%,321,consist_strat_vs_baseline,Consist-Strat,Random,4,0.060214,,0.099634,-39.56,4,0,0,0.1250,0.6250,1.000
6,5%,321,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,4,0.060214,,0.065027,-7.40,4,0,0,0.1250,0.6250,1.000
6,5%,321,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,4,0.060214,,0.086005,-29.99,4,0,0,0.1250,0.6250,1.000
6,5%,321,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,4,0.060214,,0.072000,-16.37,4,0,0,0.1250,0.6250,1.000
6,5%,321,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,4,0.060214,,0.063864,-5.72,2,0,2,0.6250,0.6250,0.000
6,5%,321,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,4,0.049444,,0.060214,-17.89,3,0,1,0.6250,1.0000,0.500
6,5%,321,centroid_pooled_vs_random,Centroid Pooled,Random,5,0.052576,,0.100442,-47.66,5,0,0,0.0625,0.6250,1.000
6,10%,321,baseline_rmse,Random,,5,0.069535,0.068901,,,,,,,,
6,10%,321,baseline_rmse,Diff-Strat,,5,0.045382,0.045698,,,,,,,,
6,10%,321,baseline_rmse,Consist-Strat,,4,0.041582,0.041275,,,,,,,,
6,10%,321,baseline_rmse,Repo-Strat,,5,0.063893,0.064436,,,,,,,,
6,10%,321,baseline_rmse,Repo×Diff,,5,0.039491,0.038016,,,,,,,,
6,10%,321,baseline_rmse,Repo×Consist,,4,0.051087,0.049127,,,,,,,,
6,10%,321,consist_strat_vs_baseline,Consist-Strat,Random,4,0.041582,,0.069179,-39.89,4,0,0,0.1250,0.6250,1.000
6,10%,321,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,4,0.041582,,0.044754,-7.09,4,0,0,0.1250,0.6250,1.000
6,10%,321,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,4,0.041582,,0.063389,-34.40,4,0,0,0.1250,0.6250,1.000
6,10%,321,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,4,0.041582,,0.037065,12.19,0,0,4,0.1250,0.6250,-1.000
6,10%,321,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,4,0.041582,,0.051087,-18.60,3,0,1,0.3750,0.6250,0.500
6,10%,321,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,4,0.053003,,0.041582,27.47,0,0,4,0.1250,1.0000,-1.000
6,10%,321,centroid_pooled_vs_random,Centroid Pooled,Random,5,0.051448,,0.069535,-26.01,5,0,0,0.0625,0.6250,1.000
6,20%,321,baseline_rmse,Random,,5,0.046423,0.046286,,,,,,,,
6,20%,321,baseline_rmse,Diff-Strat,,5,0.029918,0.030090,,,,,,,,
6,20%,321,baseline_rmse,Consist-Strat,,4,0.026601,0.026159,,,,,,,,
6,20%,321,baseline_rmse,Repo-Strat,,5,0.034126,0.033795,,,,,,,,
6,20%,321,baseline_rmse,Repo×Diff,,5,0.024384,0.026060,,,,,,,,
6,20%,321,baseline_rmse,Repo×Consist,,4,0.038010,0.037990,,,,,,,,
6,20%,321,consist_strat_vs_baseline,Consist-Strat,Random,4,0.026601,,0.046169,-42.38,4,0,0,0.1250,0.6250,1.000
6,20%,321,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,4,0.026601,,0.029487,-9.79,4,0,0,0.1250,0.6250,1.000
6,20%,321,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,4,0.026601,,0.033570,-20.76,4,0,0,0.1250,0.6250,1.000
6,20%,321,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,4,0.026601,,0.022893,16.20,0,0,4,0.1250,0.6250,-1.000
6,20%,321,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,4,0.026601,,0.038010,-30.02,4,0,0,0.1250,0.6250,1.000
6,20%,321,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,4,0.032321,,0.026601,21.50,1,0,3,0.2500,1.0000,-0.500
6,20%,321,centroid_pooled_vs_random,Centroid Pooled,Random,5,0.028594,,0.046423,-38.41,5,0,0,0.0625,0.6250,1.000
6,30%,321,baseline_rmse,Random,,5,0.035299,0.035721,,,,,,,,
6,30%,321,baseline_rmse,Diff-Strat,,5,0.022319,0.021900,,,,,,,,
6,30%,321,baseline_rmse,Consist-Strat,,4,0.020381,0.020067,,,,,,,,
6,30%,321,baseline_rmse,Repo-Strat,,5,0.032703,0.032911,,,,,,,,
6,30%,321,baseline_rmse,Repo×Diff,,5,0.046615,0.046930,,,,,,,,
6,30%,321,baseline_rmse,Repo×Consist,,4,0.026173,0.027510,,,,,,,,
6,30%,321,consist_strat_vs_baseline,Consist-Strat,Random,4,0.020381,,0.035035,-41.83,4,0,0,0.1250,0.6250,1.000
6,30%,321,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,4,0.020381,,0.021826,-6.62,4,0,0,0.1250,0.6250,1.000
6,30%,321,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,4,0.020381,,0.030226,-32.57,4,0,0,0.1250,0.6250,1.000
6,30%,321,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,4,0.020381,,0.046204,-55.89,4,0,0,0.1250,0.6250,1.000
6,30%,321,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,4,0.020381,,0.026173,-22.13,3,0,1,0.3750,0.6250,0.500
6,30%,321,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,4,0.023633,,0.020381,15.96,1,0,3,0.3750,1.0000,-0.500
6,30%,321,centroid_pooled_vs_random,Centroid Pooled,Random,5,0.022528,,0.035299,-36.18,5,0,0,0.0625,0.6250,1.000
7,5%,966,baseline_rmse,Random,,6,0.057521,0.057328,,,,,,,,
